|名称=	|よみ=	|電話番号=	|FAX=	|所在地=	|メールアドレス=	|備考=				
埼玉県立草加南高等学校	さいたまけんりつそうかみなみこうとうがっこう	048-927-7671	048-920-1262	〒340-0033 埼玉県草加市柳島町66	q277671(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立玉川工業高等学校	さいたまけんりつたまがわこうぎょうこうとうがっこう	0493-65-0881	0493-66-1040	〒355-0342 埼玉県比企郡ときがわ町玉川903	s650881(at)pref.saitama.lg.jp	電気科，情報技術科，機械科，建設技術科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立秩父高等学校	さいたまけんりつちちぶこうとうがっこう	0494-22-3606	0494-21-1041	〒368-0035 埼玉県秩父市上町2-23-45	t223606(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立秩父農工科学高等学校	さいたまけんりつちちぶのうこうかがくこうとうがっこう	0494-22-3017	0494-21-1040	〒368-0005 埼玉県秩父市大野原2000	t223017(at)pref.saitama.lg.jp	農業科，食品科学科，森林科学科，電子機械科，電気科，機械科，ライフデザイン科，フードデザイン科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鶴ヶ島清風高等学校	さいたまけんりつつるがしませいふうこうとうがっこう	049-286-7501	049-279-1010	〒350-2223 埼玉県鶴ヶ島市高倉946-1	r867501(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立常盤高等学校	さいたまけんりつときわこうとうがっこう	048-852-5711	048-840-1044	〒338-0824 埼玉県さいたま市桜区上大久保519-1	p525711(at)pref.saitama.lg.jp	看護学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立所沢高等学校	さいたまけんりつところざわこうとうがっこう	04-2922-2185	04-2925-4448	〒359-1131 埼玉県所沢市久米1234	f222185(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立所沢北高等学校	さいたまけんりつところざわきたこうとうがっこう	04-2995-5115	04-2991-1007	〒359-0042 埼玉県所沢市並木5-4	f955115(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立所沢商業高等学校	さいたまけんりつところざわしょうぎょうこうとうがっこう	04-2948-0888	04-2938-1000	〒359-1167 埼玉県所沢市林2-88	f480888(at)pref.saitama.lg.jp	情報処理科，国際流通科，ビジネス会計科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立所沢中央高等学校	さいたまけんりつところざわちゅうおうこうとうがっこう	04-2995-6088	04-2991-1006	〒359-0042 埼玉県所沢市並木8-2	f956088(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立所沢西高等学校	さいたまけんりつところざわにしこうとうがっこう	04-2949-2411	04-2938-1001	〒359-1155 埼玉県所沢市北野新町2-5-11	f492411(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立豊岡高等学校	さいたまけんりつとよおかこうとうがっこう	04-2962-5216	04-2960-1053	〒358-0003 埼玉県入間市豊岡1-15-1	f625216(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立滑川総合高等学校	さいたまけんりつなめがわそうごうこうとうがっこう	0493-62-7000	0493-61-1061	〒355-0815 埼玉県比企郡滑川町月の輪4-18-26	s627000(at)pref.saitama.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立南稜高等学校	さいたまけんりつなんりょうこうとうがっこう	048-421-1211	048-422-6055	〒335-0031 埼玉県戸田市美女木4-23-4	j211211(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立新座高等学校	さいたまけんりつにいざこうとうがっこう	048-479-5110	048-489-1032	〒352-0015 埼玉県新座市池田1-1-2	j795110(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立新座総合技術高等学校	さいたまけんりつにいざそうごうぎじゅつこうとうがっこう	048-478-2111	048-481-8970	〒352-0013 埼玉県新座市新塚1-3-1	j782111(at)pref.saitama.lg.jp	電子機械科，情報技術科，デザイン科，国際ビジネス，服飾デザイン，食物調理	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立新座柳瀬高等学校	さいたまけんりつにいざやなせこうとうがっこう	048-478-5151	048-489-1030	〒352-0004 埼玉県新座市大和田4-12-1	j785151(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立蓮田松韻高等学校	さいたまけんりつはすだしょういんこうとうがっこう	048-768-7820	048-765-1500	〒349-0101 埼玉県蓮田市黒浜4088	n687820(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鳩ヶ谷高等学校	さいたまけんりつはとがやこうとうがっこう	048-286-0565	048-280-1028	〒334-0005 埼玉県鳩ヶ谷市里225-1	h860565(at)pref.saitama.lg.jp	普通科，園芸デザイン，情報処理	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鳩山高等学校	さいたまけんりつはとやまこうとうがっこう	049-296-5395	049-298-1011	〒350-0313 埼玉県比企郡鳩山町松ヶ丘4-1-2	r965395(at)pref.saitama.lg.jp	普通科，情報管理	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立羽生実業高等学校	さいたまけんりつはにゅうじつぎょうこうとうがっこう	048-561-0341	048-560-1054	〒348-8502 埼玉県羽生市羽生323	k610341(at)pref.saitama.lg.jp	園芸，農業経済，商業，ビジネス会計，情報処理，その他	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立羽生第一高等学校	さいたまけんりつはにゅうだいいいちこうとうがっこう	048-561-6511	048-560-1053	〒348-0045 埼玉県羽生市下岩瀬153	k616511(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立飯能高等学校	さいたまけんりつはんのうこうとうがっこう	042-973-4191	042-975-1023	〒357-0032 埼玉県飯能市本町17-13	f734191(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立飯能南高等学校	さいたまけんりつはんのうみなみこうとうがっこう	042-974-1001	042-975-1024	〒357-0046 埼玉県飯能市阿須298-2	f741001(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立日高高等学校	さいたまけんりつひだかこうとうがっこう	042-989-7920	042-985-4412	〒350-1203 埼玉県日高市旭ヶ丘806	f897920(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立深谷高等学校	さいたまけんりつふかやこうとうがっこう	048-572-1215	048-570-1015	〒366-8515 埼玉県深谷市宿根315	k721215(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立深谷商業高等学校	さいたまけんりつふかやしょうぎょうこうとうがっこう	048-571-3321	048-570-1016	〒366-0035 埼玉県深谷市原郷80	k713321(at)pref.saitama.lg.jp	商業科，会計科，情報処理科，その他／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立深谷第一高等学校	さいたまけんりつふかやだいいちこうとうがっこう	048-571-3381	048-570-1017	〒366-0034 埼玉県深谷市常盤町21-1	k713381(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立福岡高等学校	さいたまけんりつふくおかこうとうがっこう	049-252-3842	049-268-1176	〒356-0011 埼玉県ふじみ野市福岡5	r523842(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立富士見高等学校	さいたまけんりつふじみこうとうがっこう	049-253-1551	049-255-4933	〒354-0002 埼玉県富士見市上南畑950	r531551(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立不動岡高等学校	さいたまけんりつふどうおかこうとうがっこう	0480-61-0140	0480-63-1013	〒347-8513 埼玉県加須市不動岡1-7-45	g610140(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立本庄高等学校	さいたまけんりつほんじょうこうとうがっこう	0495-21-1195	0495-25-1024	〒367-0045 埼玉県本庄市柏1-4-1	u211195(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立本庄北高等学校	さいたまけんりつほんじょうきたこうとうがっこう	0495-24-4424	0495-23-0695	〒367-0002 埼玉県本庄市仁手2167-1	u244424(at)pref.saitama.lg.jp	普通	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立松伏高等学校	さいたまけんりつまつぶしこうとうがっこう	048-992-0121	048-993-1180	〒343-0114 埼玉県松伏町ゆめみ野東2-7-1	q920121(at)pref.saitama.lg.jp	普通科，音楽科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立松山高等学校	さいたまけんりつまつやまこうとうがっこう	0493-22-0075	0493-21-1248	〒355-0018 埼玉県東松山市松山町1-6-10	s220075(at)pref.saitama.lg.jp	普通科，理数科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立松山女子高等学校	さいたまけんりつまつやまじょしこうとうがっこう	0493-22-0251	0493-21-1247	〒355-0026 埼玉県東松山市和泉町2-22	s220251(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立三郷高等学校	さいたまけんりつみさとこうとうがっこう	048-953-0021	048-949-1028	〒341-0041 埼玉県三郷市花和田620-1	q530021(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立三郷北高等学校	さいたまけんりつみさときたこうとうがっこう	048-952-0151	048-949-1026	〒341-0022 埼玉県三郷市大広戸808	q520151(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立三郷工業技術高等学校	さいたまけんりつみさとこうぎょうぎじゅつこうとうがっこう	048-958-2331	048-949-1024	〒341-0003 埼玉県三郷市彦成3-325	q582331(at)pref.saitama.lg.jp	機械科，電子機械科，電気科，情報技術科，情報電子科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立皆野高等学校	さいたまけんりつみなのこうとうがっこう	0494-62-2076	0494-63-1001	〒369-1623 埼玉県秩父郡皆野町大渕19-1	t622076(at)pref.saitama.lg.jp	商業系，商業，情報処理	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立宮代高等学校	さいたまけんりついやしろこうとうがっこう	0480-32-4388	0480-36-1016	〒345-0814 埼玉県南埼玉郡宮代町東611	g324388(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立妻沼高等学校	さいたまけんりつめぬまこうとうがっこう	048-588-6800	048-567-1005	〒360-0203 埼玉県熊谷市弥藤吾480	k886800(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立八潮高等学校	さいたまけんりつやしおこうとうがっこう	048-996-1130	048-994-1286	〒340-0802 埼玉県八潮市鶴ヶ曽根650	q961130(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立八潮南高等学校	さいたまけんりつやしおみなみこうとうがっこう	048-995-5700	048-998-1293	〒340-0814 埼玉県八潮市南川崎根通519-1	q955700(at)pref.saitama.lg.jp	普通科，商業科，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立吉川高等学校	さいたまけんりつよしかわこうとうがっこう	048-982-3308	048-984-1180	〒342-0035 埼玉県吉川市高久600	q823308(at)pref.saitama.lg.jp	普通科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立与野高等学校	さいたまけんりつよのこうとうがっこう	048-852-4505	048-840-1046	〒338-0004 埼玉県さいたま市中央区本町西2-8-1	p524505(at)pref.saitama.lg.jp	普通科，商業科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立寄居城北高等学校	さいたまけんりつよりいじょうほくこうとうがっこう	048-581-3111	048-580-1011	〒369-1202 埼玉県大里郡寄居町桜沢2601	k813111(at)pref.saitama.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立和光高等学校	さいたまけんりつわこうこうとうがっこう	048-463-1207	048-460-1015	〒351-0115 埼玉県和光市新倉3-22-1	j631207(at)pref.saitama.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立和光国際高等学校	さいたまけんりつわこうこくさいこうとうがっこう	048-467-1311	048-460-1018	〒351-0106 埼玉県和光市広沢4-1	j671311(at)pref.saitama.lg.jp	普通科，外国語科，情報処理科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立鷲宮高等学校	さいたまけんりつわしのいやこうとうがっこう	0480-58-1200	0480-57-1009	〒340-0213 埼玉県久喜市中妻1020	g581200(at)pref.saitama.lg.jp	普通	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
埼玉県立蕨高等学校	さいたまけんりつわらびこうとうがっこう	048-443-2473	048-430-1371	〒335-0001 埼玉県蕨市北町5-3-8	j432473(at)pref.saitama.lg.jp	普通科，外国語科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
川口市立川口高等学校	かわぐちしりつかわぐちこうとうがっこう	048-224-2211	048-224-0508	〒332-0001 埼玉県川口市朝日5-9-18	330.02000(at)city.kawaguchi.lg.jp	普通科，国際ビジネス科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
川口市立川口総合高等学校	かわぐちしりつかわぐちそうごうこうとうがっこう	048-265-3315	048-269-9998	〒333-0844 埼玉県川口市上青木3-1-40	330.01000(at)city.kawaguchi.lg.jp	総合学科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
川口市立県陽高等学校	かわぐちしりつけんようこうとうがっこう	048-252-4138	048-252-7795	〒332-0034 埼玉県川口市並木1-26-1	330.03000(at)city.kawaguchi.lg.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
川越市立川越高等学校	かわごえしりつかわごえこうとうがっこう	049-243-0800	049-247-6828	〒350-1126 埼玉県川越市旭町2-3-7	kawagoekou(at)city.kawagoe.saitama.jp	普通科，情報処理科，国際経済科／定時制あり	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
さいたま市立浦和高等学校	さいたましりつうらわこうとうがっこう	048-886-2151	048-883-2029	〒330-0073 埼玉県さいたま市浦和区元町1-28-17	urawa-hs(at)city.saitama.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
さいたま市立浦和南高等学校	さいたましりつうらわみなみこうとうがっこう	048-862-2568	048-838-2932	〒336-0026 埼玉県さいたま市南区辻6-5-31	urawa-minami-hs(at)city.saitama.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
さいたま市立大宮北高等学校	さいたましりつおおみやきたこうとうがっこう	048-663-2912	048-653-7922	〒331-0822 埼玉県さいたま市北区奈良町91-1	omiya-kita-hs(at)city.saitama.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
さいたま市立大宮西高等学校	さいたましりつおおみやにしこうとうがっこう	046-24-3412	046-22-5700	〒330-0856 埼玉県さいたま市大宮区三橋4-96	omiya-nishi-hs(at)city.saitama.jp	普通科	[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]
										
										
										
										
										
										
										
										
										
										
