|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|メールアドレス=	|URL=	|備考=	== その他 ==							
横須賀市立鴨居中学校	よこすかしりつかもいちゅうがっこう	〒239-0813 神奈川県横須賀市鴨居3-2-2	046-841-0442	046-841-0556					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立浦賀中学校	よこすかしりつうらがちゅうがっこう	〒239-0822 神奈川県横須賀市浦賀3-26-1	046-841-0454	046-841-0966					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立浦賀小学校	よこすかしりつうらがしょうがっこう	〒239-0822 神奈川県横須賀市浦賀3-8-1	046-841-0028	046-841-0027					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立高坂小学校	よこすかしりつこうざかしょうがっこう	〒239-0824 神奈川県横須賀市西浦賀3-1-1	046-841-4201	046-841-4203					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立久里浜中学校	よこすかしりつくりはまちゅうがっこう	〒239-0831 神奈川県横須賀市久里浜2-11-1	046-835-0402	046-835-0441					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立久里浜小学校	よこすかしりつくりはましょうがっこう	〒239-0831 神奈川県横須賀市久里浜6-6-1	046-835-0424	046-835-0443					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立明浜小学校	よこすかしりつあけはましょうがっこう	〒239-0831 神奈川県横須賀市久里浜6-7-1	046-835-0323	046-835-0056					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立神明小学校	よこすかしりつしんめいしょうがっこう	〒239-0832 神奈川県横須賀市神明町407	046-834-4315	046-834-4468					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立神明中学校	よこすかしりつしんめいちゅうがっこう	〒239-0832 神奈川県横須賀市神明町903	046-834-4077	046-834-4480					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立粟田小学校	よこすかしりつあわたしょうがっこう	〒239-0833 神奈川県横須賀市ﾊｲﾗﾝﾄﾞ2-41-1	046-848-6465	046-848-6845					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立野比小学校	よこすかしりつのびしょうがっこう	〒239-0841 神奈川県横須賀市野比1-25-1	046-849-7566	046-849-7814					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立野比中学校	よこすかしりつのびちゅうがっこう	〒239-0841 神奈川県横須賀市野比4-4-1	046-849-3318	046-849-3791					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立野比東小学校	よこすかしりつのびひがししょうがっこう	〒239-0841 神奈川県横須賀市野比4-6-1	046-847-1031	046-847-1522					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立北下浦小学校	よこすかしりつきたしたうらしょうがっこう	〒239-0842 神奈川県横須賀市長沢1-29-1	046-848-0037	046-848-0386					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立北下浦中学校	よこすかしりつきたしたうらちゅうがっこう	〒239-0842 神奈川県横須賀市長沢1-30-17	046-848-0104	046-848-0146					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立長沢中学校	よこすかしりつながさわちゅうがっこう	〒239-0842 神奈川県横須賀市長沢5-1-1	046-849-5431	046-849-5798					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立津久井小学校	よこすかしりつつくいしょうがっこう	〒239-0843 神奈川県横須賀市津久井5-2-1	046-848-5210	046-848-5230					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立岩戸小学校	よこすかしりついわとしょうがっこう	〒239-0844 神奈川県横須賀市岩戸5-20-1	046-848-3460	046-848-4412					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立岩戸中学校	よこすかしりついわとちゅうがっこう	〒239-0844 神奈川県横須賀市岩戸5-6-3	046-848-3054	046-848-3174					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立帷子小学校	よこはましりつかたびらしょうがっこう	〒240-0001 神奈川県横浜市保土ヶ谷区川辺町65-1	045-335-5896	045-331-5109					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立宮田中学校	よこはましりつみやたちゅうがっこう	〒240-0002 神奈川県横浜市保土ヶ谷区宮田町1-100	045-331-5288	045-331-5718					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立保土ヶ谷小学校	よこはましりつほどがやしょうがっこう	〒240-0005 神奈川県横浜市保土ヶ谷区神戸町129-4	045-332-7095	045-332-7097					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立星川小学校	よこはましりつほしかわしょうがっこう	〒240-0006 神奈川県横浜市保土ヶ谷区星川3-18-1	045-332-2101	045-331-5052					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立桜台小学校	よこはましりつさくらだいしょうがっこう	〒240-0011 神奈川県横浜市保土ヶ谷区桜ヶ丘1-13-1	045-341-6848	045-331-5418					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立岩崎中学校	よこはましりついわさきちゅうがっこう	〒240-0011 神奈川県横浜市保土ヶ谷区桜ｹ丘2-6-1	045-331-3663	045-331-5593					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立岩崎小学校	よこはましりついわさきしょうがっこう	〒240-0015 神奈川県横浜市保土ヶ谷区岩崎町22-1	045-331-5123	045-331-5343					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立富士見台小学校	よこはましりつふじみだいしょうがっこう	〒240-0023 神奈川県横浜市保土ヶ谷区岩井町307	045-741-4169	045-713-4034					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立岩井原中学校	よこはましりついわいはらちゅうがっこう	〒240-0023 神奈川県横浜市保土ヶ谷区岩井町308	045-731-5880	045-713-4022					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立瀬戸ヶ谷小学校	よこはましりつせとがやしょうがっこう	〒240-0024 神奈川県横浜市保土ヶ谷区瀬戸ヶ谷町243	045-713-8336	045-713-9749					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立権太坂小学校	よこはましりつごんたざかしょうがっこう	〒240-0026 神奈川県横浜市保土ヶ谷区権太坂2-4-1	045-742-6311	045-743-2415					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立初音が丘小学校	よこはましりつはつねがおかしょうがっこう	〒240-0031 神奈川県横浜市保土ヶ谷区藤塚町1-1	045-351-1201	045-351-7304					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立今井小学校	よこはましりついまいしょうがっこう	〒240-0035 神奈川県横浜市保土ヶ谷区今井町981-1	045-351-3392	045-351-7296					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立藤塚小学校	よこはましりつふじづかしょうがっこう	〒240-0036 神奈川県横浜市保土ヶ谷区新桜ヶ丘1-22-1	045-351-2314	045-351-7349					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上星川小学校	よこはましりつかみほしかわしょうがっこう	〒240-0042 神奈川県横浜市保土ヶ谷区上星川2-51-1	045-381-7227	045-381-7331					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立坂本小学校	よこはましりつさかもとしょうがっこう	〒240-0043 神奈川県横浜市保土ヶ谷区坂本町6	045-332-4322	045-331-5582					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立橘中学校	よこはましりつたちばなちゅうがっこう	〒240-0044 神奈川県横浜市保土ヶ谷区仏向町1167-2	045-335-5991	045-331-5725					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立仏向小学校	よこはましりつぶっこうしょうがっこう	〒240-0044 神奈川県横浜市保土ヶ谷区仏向町845	045-332-1521	045-331-5554					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立川島小学校	よこはましりつかわしましょうがっこう	〒240-0045 神奈川県横浜市保土ヶ谷区川島町1162	045-371-0757	045-381-7248					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立西谷中学校	よこはましりつにしやちゅうがっこう	〒240-0045 神奈川県横浜市保土ヶ谷区川島町1208	045-373-5511	045-381-7412					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立くぬぎ台小学校	よこはましりつくぬぎだいしょうがっこう	〒240-0045 神奈川県横浜市保土ヶ谷区川島町1374-1	045-371-5333	045-373-6112					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上菅田小学校	よこはましりつかみすげたしょうがっこう	〒240-0051 神奈川県横浜市保土ヶ谷区上菅田町134	045-383-3111	045-381-7266					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立笹山小学校	よこはましりつささやましょうがっこう	〒240-0051 神奈川県横浜市保土ヶ谷区上菅田町1422	045-382-1161	045-381-7384					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立新井小学校	よこはましりつあらいしょうがっこう	〒240-0051 神奈川県横浜市保土ヶ谷区上菅田町1574-1	045-383-3455	045-381-7372					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上菅田中学校	よこはましりつかみすげたちゅうがっこう	〒240-0051 神奈川県横浜市保土ヶ谷区上菅田町780	045-381-7161	045-381-7424					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立新井中学校	よこはましりつあらいちゅうがっこう	〒240-0053 神奈川県横浜市保土ヶ谷区新井町43-7	045-382-1477	045-381-7429					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立新井小学校桜坂分校	よこはましりつあらいしょうがっこうさくらざかぶんこう	〒240-0053 神奈川県横浜市保土ヶ谷区新井町580	045-381-3029						[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立新井中学校桜坂分校	よこはましりつあらいちゅうがっこうさくらざかぶんこう	〒240-0053 神奈川県横浜市保土ヶ谷区新井町580	045-381-3029						[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立峯小学校	よこはましりつみねしょうがっこう	〒240-0064 神奈川県横浜市保土ヶ谷区峰岡町1-10	045-331-5302	045-331-5226					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立常盤台小学校	よこはましりつときわだいしょうがっこう	〒240-0066 神奈川県横浜市保土ヶ谷区釜台町22-1	045-331-4808	045-331-5429					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立保土ケ谷中学校	よこはましりつほどがやちゅうがっこう	〒240-0066 神奈川県横浜市保土ヶ谷区釜台町3-1	045-331-8521	045-331-5612					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立荻野小学校	よこすかしりつおぎのしょうがっこう	〒240-0102 神奈川県横須賀市荻野8-1	046-857-0018	046-857-0028					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横須賀市立大楠中学校	よこすかしりつおおぐすちゅうがっこう	〒240-0104 神奈川県横須賀市芦名1-2-1	046-856-2028	046-856-2309					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横須賀市立大楠小学校	よこすかしりつおおぐすしょうがっこう	〒240-0104 神奈川県横須賀市芦名1-29-18	046-856-0154	046-856-0245					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
葉山町立一色小学校	はやまちょうりついっしきしょうがっこう	〒240-0111 神奈川県三浦郡葉山町一色1060	046-875-9221	046-876-0681					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
葉山町立葉山小学校	はやまちょうりつはやましょうがっこう	〒240-0112 神奈川県三浦郡葉山町堀内2050-1	046-875-0062	046-876-0680					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
葉山町立葉山中学校	はやまちょうりつはやまちゅうがっこう	〒240-0112 神奈川県三浦郡葉山町堀内2247-2	046-875-1346	046-876-0683					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
葉山町立長柄小学校	はやまちょうりつながえしょうがっこう	〒240-0113 神奈川県三浦郡葉山町長柄130	046-875-6860	046-876-0682					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
葉山町立南郷中学校	はやまちょうりつなんごうちゅうがっこう	〒240-0113 神奈川県三浦郡葉山町長柄1835	046-875-9494	046-876-0684					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
葉山町立上山口小学校	はやまちょうりつかみやまぐちしょうがっこう	〒240-0115 神奈川県三浦郡葉山町上山口158	046-878-7529	046-878-6550					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上白根中学校	よこはましりつかみしらねちゅうがっこう	〒241-0001 神奈川県横浜市旭区上白根町868	045-952-2033	045-951-1327					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立四季の森小学校	よこはましりつしきのもりしょうがっこう	〒241-0001 神奈川県横浜市旭区上白根町901	045-952-1585	045-951-1264					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上白根小学校	よこはましりつかみしらねしょうがっこう	〒241-0002 神奈川県横浜市旭区上白根2-45-1	045-953-4737	045-951-1294					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立旭北中学校	よこはましりつあさひきたちゅうがっこう	〒241-0002 神奈川県横浜市旭区上白根2-47-1	045-955-1131	045-951-1354					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立白根小学校	よこはましりつしらねしょうがっこう	〒241-0004 神奈川県横浜市旭区中白根1-9-1	045-951-2276	045-951-1206					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立不動丸小学校	よこはましりつふどうまるしょうがっこう	〒241-0005 神奈川県横浜市旭区白根3-33-1	045-953-2303	045-951-1291					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立本宿中学校	よこはましりつほんじゅくちゅうがっこう	〒241-0011 神奈川県横浜市旭区川島町1979	045-373-0529	045-381-7434					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立市沢小学校	よこはましりついちさわしょうがっこう	〒241-0014 神奈川県横浜市旭区市沢町781	045-373-4511	045-381-7402					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立左近山小高小学校	よこはましりつさこんやまおたかしょうがっこう	〒241-0015 神奈川県横浜市旭区小高町55-2	045-373-1430	045-381-7407					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立鶴ヶ峯中学校	よこはましりつつるがみねちゅうがっこう	〒241-0021 神奈川県横浜市旭区鶴ヶ峰本町3-28-1	045-951-2327	045-951-1321					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立鶴ヶ峯小学校	よこはましりつつるがみねしょうがっこう	〒241-0022 神奈川県横浜市旭区鶴ヶ峰1-42	045-373-6732	045-381-7405					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立本宿小学校	よこはましりつほんじゅくしょうがっこう	〒241-0023 神奈川県横浜市旭区本宿町16	045-363-8000	045-363-8060					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立今宿中学校	よこはましりついまじゅくちゅうがっこう	〒241-0032 神奈川県横浜市旭区今宿東町825	045-953-0001	045-951-1346					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立今宿小学校	よこはましりついまじゅくしょうがっこう	〒241-0032 神奈川県横浜市旭区今宿東町829	045-951-2240	045-951-1240					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立今宿南小学校	よこはましりついまじゅくみなみしょうがっこう	〒241-0034 神奈川県横浜市旭区今宿南町1879-2	045-955-0765	045-951-1311					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立若葉台中学校	よこはましりつわかばだいちゅうがっこう	〒241-0801 神奈川県横浜市旭区若葉台1-13-1	045-921-1060	045-922-5961					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立若葉台小学校	よこはましりつわかばだいしょうがっこう	〒241-0801 神奈川県横浜市旭区若葉台2-14-1	045-921-5245	045-922-6096					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立上川井小学校	よこはましりつかみかわいしょうがっこう	〒241-0802 神奈川県横浜市旭区上川井町2913	045-921-2369	045-922-6512					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立川井小学校	よこはましりつかわいしょうがっこう	〒241-0804 神奈川県横浜市旭区川井宿町32-2	045-953-0005	045-951-1269					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立都岡中学校	よこはましりつつおかちゅうがっこう	〒241-0804 神奈川県横浜市旭区川井宿町32-2	045-953-2301	045-951-1338					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立都岡小学校	よこはましりつつおかしょうがっこう	〒241-0805 神奈川県横浜市旭区都岡町4-8	045-951-2347	045-951-1211					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立中沢小学校	よこはましりつなかざわしょうがっこう	〒241-0814 神奈川県横浜市旭区中沢3-25-1	045-361-5886	045-361-6969					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立中尾小学校	よこはましりつなかおしょうがっこう	〒241-0815 神奈川県横浜市旭区中尾1-8-1	045-364-9700	045-364-9705					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立笹野台小学校	よこはましりつささのだいしょうがっこう	〒241-0816 神奈川県横浜市旭区笹野台4-48-1	045-362-0450	045-362-0401					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立旭中学校	よこはましりつあさひちゅうがっこう	〒241-0817 神奈川県横浜市旭区今宿2-40-1	045-364-5112	045-364-5117					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立二俣川小学校	よこはましりつふたまたがわしょうがっこう	〒241-0821 神奈川県横浜市旭区二俣川1-33	045-364-5151	045-364-5159					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立さちが丘小学校	よこはましりつさちがおかしょうがっこう	〒241-0822 神奈川県横浜市旭区さちが丘110-1	045-361-0777	045-361-0787					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立善部小学校	よこはましりつぜんぶしょうがっこう	〒241-0823 神奈川県横浜市旭区善部町4-1	045-364-5155	045-364-5164					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立南希望が丘中学校	よこはましりつみなみきぼうがおかちゅうがっこう	〒241-0824 神奈川県横浜市旭区南希望が丘108-8	045-364-5171	045-364-5183					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立希望ヶ丘小学校	よこはましりつきぼうがおかしょうがっこう	〒241-0825 神奈川県横浜市旭区中希望が丘124	045-391-0117	045-391-0118					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立希望が丘中学校	よこはましりつきぼうがおかちゅうがっこう	〒241-0826 神奈川県横浜市旭区東希望が丘118	045-391-0378	045-391-0377					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立東希望が丘小学校	よこはましりつひがしきぼうがおかしょうがっこう	〒241-0826 神奈川県横浜市旭区東希望が丘155	045-364-8282	045-364-8257					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立左近山第二小学校	よこはましりつさこんやまだいにしょうがっこう	〒241-0831 神奈川県横浜市旭区左近山1011	045-351-5491	045-352-6391					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立左近山中学校	よこはましりつさこんやまちゅうがっこう	〒241-0831 神奈川県横浜市旭区左近山1335-2	045-351-7712	045-351-7049					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
横浜市立左近山第一小学校	よこはましりつさこんやまだいいちしょうがっこう	〒241-0831 神奈川県横浜市旭区左近山1997-2	045-351-7856	045-351-7398					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立南本宿小学校	よこはましりつみなみほんじゅくしょうがっこう	〒241-0833 神奈川県横浜市旭区南本宿町79	045-351-3383	045-352-6403					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立万騎が原小学校	よこはましりつまきがはらしょうがっこう	〒241-0834 神奈川県横浜市旭区大池町66	045-351-5648	045-351-7364					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
横浜市立万騎が原中学校	よこはましりつまきがはらちゅうがっこう	〒241-0836 神奈川県横浜市旭区万騎が原31	045-391-5514	045-391-5537					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立中央林間小学校	やまとしりつちゅうおうりんかんしょうがっこう	〒242-0001 神奈川県大和市下鶴間1450-29	046-276-2821	046-272-1490					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立鶴間中学校	やまとしりつつるまちゅうがっこう	〒242-0001 神奈川県大和市下鶴間3016	046-274-8903	046-276-1067					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立北大和小学校	やまとしりつきたやまとしょうがっこう	〒242-0001 神奈川県大和市下鶴間685	046-274-1171	046-272-1485					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立つきみ野中学校	やまとしりつつきみのちゅうがっこう	〒242-0002 神奈川県大和市つきみ野3-5-1	046-274-1728	046-276-1791					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立林間小学校	やまとしりつりんかんしょうがっこう	〒242-0003 神奈川県大和市林間1-5-18	046-274-3218	046-272-1495					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立西鶴間小学校	やまとしりつにしつるましょうがっこう	〒242-0005 神奈川県大和市西鶴間2-25-43	046-274-8428	046-272-1521					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立南林間中学校	やまとしりつみなみりんかんちゅうがっこう	〒242-0006 神奈川県大和市南林間9-3-1	046-276-2500	046-276-1531					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立南林間小学校	やまとしりつみなみりんかんしょうがっこう	〒242-0006 神奈川県大和市南林間9-3-2	046-275-3141	046-272-1531					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立緑野小学校	やまとしりつみどりのしょうがっこう	〒242-0008 神奈川県大和市中央林間西5-3-1	046-274-4368	046-272-1541					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立大和東小学校	やまとしりつやまとひがししょうがっこう	〒242-0011 神奈川県大和市深見1805	046-263-2525	046-264-9085					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立深見小学校	やまとしりつふかみしょうがっこう	〒242-0013 神奈川県大和市深見台2-9-1	046-261-1370	046-264-8494					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立上和田中学校	やまとしりつかみわだちゅうがっこう	〒242-0014 神奈川県大和市上和田1314-1	046-269-1165	046-268-4574					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立上和田小学校	やまとしりつかみわだしょうがっこう	〒242-0014 神奈川県大和市上和田2695	046-267-3352	046-268-8415					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立桜丘小学校	やまとしりつさくらがおかしょうがっこう	〒242-0014 神奈川県大和市上和田832	046-267-2349	046-268-8501					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
大和市立渋谷中学校	やまとしりつしぶやちゅうがっこう	〒242-0015 神奈川県大和市下和田49	046-267-1104	046-268-3989					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
大和市立渋谷小学校	やまとしりつしぶやしょうがっこう	〒242-0015 神奈川県大和市下和田929	046-267-3344	046-268-8508					[[Category:神奈川県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
