|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|URL=	|備考=					
鴻巣市立鴻巣南小学校	こうのすしりつこうのすみなみしょうがっこう	〒365-0038 埼玉県鴻巣市本町8-7-23	048-541-1107	048-542-3115	http://senseiminami.lolipop.jp/senseiminami/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立芝原小学校	さいたましりつしばはらしょうがっこう	〒336-0917 埼玉県さいたま市緑区芝原2-5	048-873-4133	048-810-1123	http://shibahara-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立芝川小学校	さいたましりつしばかわしょうがっこう	〒330-0834 埼玉県さいたま市大宮区天沼町2-1077	048-644-7544	048-644-5604	http://shibakawa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立新開小学校	さいたましりつしびらきしょうがっこう	〒338-0834 埼玉県さいたま市桜区新開2-18-1	048-864-6741	048-836-1577	http://shibiraki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立島小学校	さいたましりつしましょうがっこう	〒337-0006 埼玉県さいたま市見沼区島町533-2	048-685-0607	048-685-5187	http://shima-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立下落合小学校	さいたましりつしもおちあいしょうがっこう	〒338-0001 埼玉県さいたま市中央区上落合1-7-33	048-852-2280	048-852-0188	http://shimoochiai-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立鈴谷小学校	さいたましりつすずやしょうがっこう	〒338-0013 埼玉県さいたま市中央区鈴谷5-1-1	048-852-5675	048-852-1917	http://suzuya-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立泰平小学校	さいたましりつたいへいしょうがっこう	〒331-0801 埼玉県さいたま市北区今羽町628	048-651-5637	048-651-4831	http://taihei-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立田島小学校	さいたましりつたじましょうがっこう	〒338-0837 埼玉県さいたま市桜区田島10-12-1	048-863-8122	048-836-1578	http://tajima-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立高砂小学校	さいたましりつたかさごしょうがっこう	〒330-0064 埼玉県さいたま市浦和区岸町4-1-29	048-829-2737	048-835-1260	http://takasago-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立常盤小学校	さいたましりつときわしょうがっこう	〒330-0061 埼玉県さいたま市浦和区常盤9-30-9	048-831-2349	048-835-1354	http://tokiwa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立常盤北小学校	さいたましりつときわきたしょうがっこう	〒330-0075 埼玉県さいたま市浦和区針ヶ谷4-2-12	048-825-6336	048-835-1353	http://tokiwakita-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立徳力小学校	さいたましりつとくりきしょうがっこう	〒339-0004 埼玉県さいたま市岩槻区徳力136-4	048-794-2318	048-795-0376	http://tokuriki-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立つばさ小学校	さいたましりつつばさしょうがっこう	〒331-0812 埼玉県さいたま市北区宮原町3-902-4	048-661-0283	048-653-4714	http://tsubasa-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立土合小学校	さいたましりつつちあいしょうがっこう	〒338-0832 埼玉県さいたま市桜区西堀7-21-1	048-862-5156	048-836-1580	http://tsuchiai-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立辻小学校	さいたましりつつじしょうがっこう	〒336-0026 埼玉県さいたま市南区辻6-3-28	048-862-1072	048-836-1579	http://tsuji-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立辻南小学校	さいたましりつつじみなみしょうがっこう	〒336-0026 埼玉県さいたま市南区辻8-7-32	048-839-3001	048-839-3002	http://tsujiminami-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立植水小学校	さいたましりつうえみずしょうがっこう	〒331-0057 埼玉県さいたま市西区中野林225-1	048-624-4235	048-624-2280	http://uemizu-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立植竹小学校	さいたましりつうえたけしょうがっこう	〒331-0813 埼玉県さいたま市北区植竹町2-1	048-663-7627	048-663-9885	http://uetake-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立浦和別所小学校	さいたましりつうらわべっしょしょうがっこう	〒336-0021 埼玉県さいたま市南区別所2-5-34	048-862-2775	048-836-1584	http://urawabessho-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立浦和大里小学校	さいたましりつうらわおおさとしょうがっこう	〒336-0021 埼玉県さいたま市南区別所7-14-28	048-864-6731	048-836-1575	http://urawaosato-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
さいたま市立和土小学校	さいたましりつわどしょうがっこう	〒339-0033 埼玉県さいたま市岩槻区黒谷1353	048-798-0208	048-798-8730	http://wado-e.saitama-city.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立第三小学校	わこうしりつだいさんしょうがっこう	〒351-0113 埼玉県和光市中央1-1-4	048-461-2322	048-461-2535	http://web.wako-city.ed.jp/~3sho/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立第四小学校	わこうしりつだいよんしょうがっこう	〒351-0102 埼玉県和光市諏訪3-20	048-461-4855	048-461-4895	http://web.wako-city.ed.jp/~4sho/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立第五小学校	わこうしりつだいごしょうがっこう	〒351-0104 埼玉県和光市南1-5-10	048-463-3100	048-463-3101	http://web.wako-city.ed.jp/~5sho/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立広沢小学校	わこうしりつひろさわしょうがっこう	〒351-0106 埼玉県和光市広沢1-5	048-464-1149	048-464-1235	http://web.wako-city.ed.jp/~hirosawa/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立本町小学校	わこうしりつほんちょうしょうがっこう	〒351-0114 埼玉県和光市本町31-17	048-466-0855	048-466-0894	http://web.wako-city.ed.jp/~honcho/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立北原小学校	わこうしりつきたはらしょうがっこう	〒351-0115 埼玉県和光市新倉1-5-27	048-461-3374	048-461-3393	http://web.wako-city.ed.jp/~kitahara/htdocs/index.php?page_id=88		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立新倉小学校	わこうしりつにいくらしょうがっこう	〒351-0115 埼玉県和光市新倉2-2-39	048-461-2108	048-461-2144	http://web.wako-city.ed.jp/~niikura/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
和光市立白子小学校	わこうしりつしらこしょうがっこう	〒351-0101 埼玉県和光市白子3-2-10	048-461-2073	048-461-2240	http://web.wako-city.ed.jp/~shirako/htdocs/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
深谷市立明戸小学校	ふかやしりつあけとしょうがっこう	〒366-0015 埼玉県深谷市蓮沼413	048-571-0868	048-571-7954	http://www.aketo-e.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第十小学校	あさかしりつあさかだいじゅうしょうがっこう	〒351-0023 埼玉県朝霞市溝沼828-1	048-469-5443	048-458-7375	http://www.asakadai10shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第一小学校	あさかしりつあさかだいいちしょうがっこう	〒351-0014 埼玉県朝霞市膝折町4-11-7	048-461-0052	048-467-4734	http://www.asakadai1shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第二小学校	あさかしりつあさかだいにしょうがっこう	〒351-0007 埼玉県朝霞市岡3-16-13	048-461-0042	048-467-4735	http://www.asakadai2shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第三小学校	あさかしりつあさかだいさんしょうがっこう	〒351-0033 埼玉県朝霞市浜崎230	048-471-1630	048-476-1325	http://www.asakadai3shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第四小学校	あさかしりつあさかだいよんしょうがっこう	〒351-0015 埼玉県朝霞市幸町1-6-9	048-461-0363	048-467-4736	http://www.asakadai4shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第五小学校	あさかしりつあさかだいごしょうがっこう	〒351-0024 埼玉県朝霞市泉水3-16-1	048-462-0455	048-467-4737	http://www.asakadai5shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第六小学校	あさかしりつあさかだいろくしょうがっこう	〒351-0011 埼玉県朝霞市本町1-25-1	048-461-0410	048-467-4738	http://www.asakadai6shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第七小学校	あさかしりつあさかだいななしょうがっこう	〒351-0036 埼玉県朝霞市北原2-6-1	048-472-9172	048-476-1327	http://www.asakadai7shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第八小学校	あさかしりつあさかだいはちしょうがっこう	〒351-0012 埼玉県朝霞市栄町5-1-41	048-465-8381	048-467-4739	http://www.asakadai8shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
朝霞市立朝霞第九小学校	あさかしりつあさかだいきゅうしょうがっこう	〒351-0003 埼玉県朝霞市台295	048-466-4481	048-467-4740	http://www.asakadai9shou.city-asaka.ed.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
春日部市立備後小学校	かすかべしりつびんごしょうがっこう	〒344-0033 埼玉県春日部市備後西3-2-1	048-735-8479	048-734-9407	http://www.bingo.av-center.kasukabe.saitama.jp/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
皆野町立金沢小学校	みなのちょうりつかねざわしょうがっこう	〒369-1601 埼玉県秩父郡皆野町金沢2642	0494-62-0753	0494-62-0753	http://www.chichibu.ne.jp/~kanezawa/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
皆野町立国神小学校	みなのちょうりつくにかみしょうがっこう	〒369-1623 埼玉県秩父郡皆野町大渕70-1	0494-62-0579	0494-62-5044	http://www.chichibu.ne.jp/~kunikami/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
皆野町立皆野小学校	みなのちょうりつみなのしょうがっこう	〒369-1412 埼玉県秩父郡皆野町皆野1346	0494-62-0053	0494-62-0857	http://www.chichibu.ne.jp/~minano-e/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
皆野町立三沢小学校	みなのちょうりつみさわしょうがっこう	〒369-1411 埼玉県秩父郡皆野町三沢1606	0494-65-0123	0494-64-0339	http://www.chichibu.ne.jp/~misawa/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
横瀬町立横瀬小学校	あやせちょうりつよこぜしょうがっこう	〒368-0072 埼玉県秩父郡横瀬町横瀬4556	0494-22-0618	0494-22-5368	http://www.chichibu.ne.jp/~yokosho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立荒川東小学校	ちちぶしりつあらかわひがししょうがっこう	〒369-1802 埼玉県秩父市荒川上田野1755	0494-54-1009	0494-54-1329	http://www.chichibu-stm.ed.jp/~arakawae-sho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立荒川西小学校	ちちぶしりつあらかわにししょうがっこう	〒369-1911 埼玉県秩父市荒川贄川840	0494-54-0004	0494-54-0019	http://www.chichibu-stm.ed.jp/~arakawaw-sho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立秩父第一小学校	ちちぶしりつちちぶだいいちしょうがっこう	〒368-0024 埼玉県秩父市上宮地町36-11	0494-22-0003	0494-22-7850	http://www.chichibu-stm.ed.jp/~dai1sho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立花の木小学校	ちちぶしりつはなのきしょうがっこう	〒368-0035 埼玉県秩父市上町2-21-37	0494-22-0607	0494-22-7851	http://www.chichibu-stm.ed.jp/~hanasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立原谷小学校	ちちぶしりつはらやしょうがっこう	〒368-0005 埼玉県秩父市大野原2991	0494-22-0844	0494-22-7855	http://www.chichibu-stm.ed.jp/~harayasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立影森小学校	ちちぶしりつかげもりしょうがっこう	〒369-1871 埼玉県秩父市下影森1104	0494-22-0779	0494-22-7858	http://www.chichibu-stm.ed.jp/~kagemorisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立久那小学校	ちちぶしりつくなしょうがっこう	〒368-0053 埼玉県秩父市久那2183-1	0494-22-1530	0494-22-7856	http://www.chichibu-stm.ed.jp/~kunasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立南小学校	ちちぶしりつみなみしょうがっこう	〒368-0033 埼玉県秩父市野坂町2-14-29	0494-22-1299	0494-22-7853	http://www.chichibu-stm.ed.jp/~minamisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立西小学校	ちちぶしりつにししょうがっこう	〒368-0014 埼玉県秩父市金室町9-46	0494-22-0221	0494-22-7852	http://www.chichibu-stm.ed.jp/~nishisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立尾田蒔小学校	ちちぶしりつおだまきしょうがっこう	〒368-0056 埼玉県秩父市寺尾2375	0494-23-9123	0494-22-7854	http://www.chichibu-stm.ed.jp/~odamakisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立大滝小学校	ちちぶしりつおおたきしょうがっこう	〒369-1901 埼玉県秩父市大滝1999	0494-55-0665	0494-55-0937	http://www.chichibu-stm.ed.jp/~oes/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立大田小学校	ちちぶしりつおおたしょうがっこう	〒368-0065 埼玉県秩父市太田1661	0494-62-0651	0494-62-5084	http://www.chichibu-stm.ed.jp/~ohtasho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立高篠小学校	ちちぶしりつたかしのしょうがっこう	〒368-0004 埼玉県秩父市山田2619	0494-22-0659	0494-22-7857	http://www.chichibu-stm.ed.jp/~takashinosho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
秩父市立吉田小学校	ちちぶしりつよしだしょうがっこう	〒369-1503 埼玉県秩父市下吉田3833	0494-77-0014	0494-77-1405	http://www.chichibu-stm.ed.jp/~yoshisho/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立上尾小学校	あげおしりつあげおしょうがっこう	〒362-0035 埼玉県上尾市仲町1-11-46	048-771-0067	048-771-9094	http://www.city.ageo.lg.jp/site/ageo-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立東町小学校	あげおしりつあずまちょうしょうがっこう	〒362-0031 埼玉県上尾市東町3-1947	048-775-6569	048-775-0936	http://www.city.ageo.lg.jp/site/azumacho-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立中央小学校	あげおしりつちゅうおうしょうがっこう	〒362-0037 埼玉県上尾市上町1-15-4	048-771-0256	048-771-9173	http://www.city.ageo.lg.jp/site/chuoh-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立富士見小学校	あげおしりつふじみしょうがっこう	〒362-0075 埼玉県上尾市柏座4-3-8	048-771-0505	048-771-9194	http://www.city.ageo.lg.jp/site/fujimi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立原市小学校	あげおしりつはらいちしょうがっこう	〒362-0021 埼玉県上尾市原市3508-1	048-721-1536	048-721-9252	http://www.city.ageo.lg.jp/site/haraichi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立原市南小学校	あげおしりつはらいちみなみしょうがっこう	〒362-0021 埼玉県上尾市原市3990	048-722-2100	048-721-9397	http://www.city.ageo.lg.jp/site/haraichiminami-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立東小学校	あげおしりつひがししょうがっこう	〒362-0013 埼玉県上尾市上尾村1171-2	048-773-2490	048-773-3290	http://www.city.ageo.lg.jp/site/higashi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立平方小学校	あげおしりつひらかたしょうがっこう	〒362-0059 埼玉県上尾市平方1346-1	048-725-2070	048-726-0561	http://www.city.ageo.lg.jp/site/hirakata-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立平方東小学校	あげおしりつひらかたひがししょうがっこう	〒362-0059 埼玉県上尾市平方4354-2	048-725-2623	048-726-0963	http://www.city.ageo.lg.jp/site/hirakatahigashi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立平方北小学校	あげおしりつひらかたきたしょうがっこう	〒362-0059 埼玉県上尾市平方3657	048-726-2120	048-726-2572	http://www.city.ageo.lg.jp/site/hirakatakita-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立今泉小学校	あげおしりついまいずみしょうがっこう	〒362-0047 埼玉県上尾市今泉268	048-781-4318	048-726-1489	http://www.city.ageo.lg.jp/site/imaizumi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立上平小学校	あげおしりつかみひらしょうがっこう	〒362-0002 埼玉県上尾市南102	048-771-1751	048-771-9174	http://www.city.ageo.lg.jp/site/kamihira-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立上平北小学校	あげおしりつかみひらきたしょうがっこう	〒362-0002 埼玉県上尾市南287	048-775-4427	048-775-1065	http://www.city.ageo.lg.jp/site/kamihirakita-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立鴨川小学校	あげおしりつかもがわしょうがっこう	〒362-0043 埼玉県上尾市西宮下4-400	048-775-6562	048-775-1336	http://www.city.ageo.lg.jp/site/kamogawa-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立瓦葺小学校	あげおしりつかわらぶきしょうがっこう	〒362-0022 埼玉県上尾市瓦葺2260	048-721-4618	048-721-9723	http://www.city.ageo.lg.jp/site/kawarabuki-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立西小学校	あげおしりつにししょうがっこう	〒362-0047 埼玉県上尾市今泉1-7-2	048-781-6567	048-726-1751	http://www.city.ageo.lg.jp/site/nishi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立大石小学校	あげおしりつおおいししょうがっこう	〒362-0063 埼玉県上尾市小泉745-1	048-781-0342	048-726-0821	http://www.city.ageo.lg.jp/site/oishi-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立大石北小学校	あげおしりつおおいしきたしょうがっこう	〒362-0071 埼玉県上尾市井戸木4-23	048-775-4428	048-775-0944	http://www.city.ageo.lg.jp/site/oishikita-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立大石南小学校	あげおしりつおおいしみなみしょうがっこう	〒362-0065 埼玉県上尾市畔吉1333	048-726-2655	048-726-0902	http://www.city.ageo.lg.jp/site/oishiminami-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立大谷小学校	あげおしりつおおやしょうがっこう	〒362-0044 埼玉県上尾市大谷本郷528	048-781-0120	048-726-0493	http://www.city.ageo.lg.jp/site/oya-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立尾山台小学校	あげおしりつおやまだいしょうがっこう	〒362-0022 埼玉県上尾市瓦葺509-1	048-721-3400	048-721-9301	http://www.city.ageo.lg.jp/site/oyamadai-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
上尾市立芝川小学校	あげおしりつしばかわしょうがっこう	〒362-0007 埼玉県上尾市久保180	048-773-2560	048-773-3473	http://www.city.ageo.lg.jp/site/shibakawa-elementaryschool/		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立水谷小学校	ふじみしりつみずたにしょうがっこう	〒354-0014 埼玉県富士見市水谷1-13-3	049-251-1130	049-254-7906	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../12mizutani/2010-0511-1817-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立南畑小学校	ふじみしりつなんばたしょうがっこう	〒354-0002 埼玉県富士見市上南畑1280	049-251-1139	049-254-8577	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../13nannbata/2010-0511-1905-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立関沢小学校	ふじみしりつせきざわしょうがっこう	〒354-0025 埼玉県富士見市関沢3-24-1	049-252-2886	049-255-0898	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../14sekizawa/2010-0511-1944-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立勝瀬小学校	ふじみしりつかつせしょうがっこう	〒354-0031 埼玉県富士見市勝瀬674	049-262-1065	049-261-8369	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../15katsuse/2010-0511-2101-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立水谷東小学校	ふじみしりつみずたにひがししょうがっこう	〒354-0011 埼玉県富士見市水子3614	049-252-3850	049-255-2309	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../16mizutani_e/2010-0511-2129-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立諏訪小学校	ふじみしりつすわしょうがっこう	〒354-0021 埼玉県富士見市鶴馬1932-1	049-253-1451	049-255-2703	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../17suwa/2010-0512-1012-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立みずほ台小学校	ふじみしりつみずほだいしょうがっこう	〒354-0015 埼玉県富士見市東みずほ台3-21	049-253-2981	049-255-1843	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../18mizuhodai/2010-0512-1102-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立針ケ谷小学校	ふじみしりつはりがやしょうがっこう	〒354-0017 埼玉県富士見市針ヶ谷2-38-1	049-254-4482	049-255-0602	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../19harigawa/2010-0512-1127-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立ふじみ野小学校	ふじみしりつふじみのしょうがっこう	〒354-0036 埼玉県富士見市ふじみ野東4-4-1	049-267-2312	049-267-2311	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../20fujimino/2010-0512-1202-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
富士見市立つるせ台小学校	ふじみしりつつるせだいしょうがっこう	〒354-0026 埼玉県富士見市鶴瀬西2-9-1	049-251-2112	049-255-9774	http://www.city.fujimi.saitama.jp/30shisetsu/06school/school/12mizutani/../21tsurusedai/2010-0512-1416-137.html		[[Category:埼玉県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]	
