館名	郵便番号	住所	電話番号	URL	都道府県
藻岩山展望台	064-0942	北海道札幌市中央区伏見5－3－7	011-513-0531		北海道
妹背牛町郷土館	079-0501	北海道妹背牛町妹背牛247	016432-2760		北海道
元町北小学校資料室	065-0031	北海道札幌市東区北三十一条東14元町北小学校3F	011-752-5902		北海道
森と湖の藝術館	085-0200	北海道阿寒町阿寒湖畔アイヌコタン	0154-67-2001		北海道
森ヒロコ・スタシス美術館	047-0034	北海道小樽市緑1-16-33	0134-22-3772	http://morihiroko-stasys-museum.com/	北海道
森町郷土館	049-2212	北海道森町砂原4-147	0137-48-3190		北海道
森町公民館郷土資料室	049-2326	北海道森町御幸町132	01374-2-2186		北海道
紋別市立郷土博物館	094-0015	北海道紋別市幸町3-1-4	01582-3-4236		北海道
門別町図書館・郷土資料館	055-0004	北海道門別町富川東1－3－1	01456-2-3746		北海道
八雲町郷土資料館	049-3112	北海道八雲町末広町154	01376-3-3131		北海道
弥永北海道博物館	001-0019	北海道札幌市北区北十九条西4	011-716-1358		北海道
ヤマトタカハシ北海道昆布館	041-1102	北海道七飯町峠下32-1	0138-66-2000		北海道
夕張市美術館  夕張・撫順市友好記念館	068-0405	北海道夕張市旭町4-3	01235-2-0930		北海道
湧別町郷土館	099-6404	北海道紋別郡湧別町栄町155	01586-5-2229		北海道
雪印乳業史料館	065-0043	北海道札幌市東区苗穂町6-1-1	011-704-2329	http://www.snowbrand.co.jp/customer/fac_i/holl/index.html	北海道
由仁町立ゆめっく館	069-1205	北海道由仁町中央202	01238-3-3803		北海道
余市宇宙記念館スペース童夢	046-0003	北海道余市町黒川町6-4-1道の駅内	0135-21-2200	http://www.spacedome.co.jp	北海道
余市水産博物館	046-0011	北海道余市町入舟町21	0135-22-6187		北海道
横綱千代の山・千代の富士記念館	049-1312	北海道福島町福島190(道の駅「横綱の里ふくしま」内)	01394-7-4527	http://www.town.fukushima.hokkaido.jp/	北海道
横山家	043-0041	北海道江差町姥神町45	01395-2-0018	http://www.hokkaido-esashi.jp/kankou/yokoyamake/top.htm	北海道
義経資料館	055-0107	北海道平取町本町	01457-2-2432		北海道
義経の館	089-3302	北海道本別町東町51－2	01562-2-4499		北海道
米町ふるさと館	085-0842	北海道釧路市米町1－1－21	0154-41-2032		北海道
羅臼町公民館郷土資料室	086-1823	北海道羅臼町栄町102	01537-7-2004		北海道
Ｌａ　Ｇｈｉｌｒａｎｄａ美術館	071-0488	北海道上富良野町深山峠	0167-45-3788		北海道
陸上自衛隊真駒内駐屯地史料館	005-0008	北海道札幌市南区真駒内17	011-581-3191		北海道
りくべつ宇宙地球科学館	089-4301	北海道陸別町宇遠別	01562-7-8100	http://www.town.rikubetsu.hokkaido.jp/tenmon/	北海道
利尻町立博物館	097-0311	北海道利尻町仙法志本町136	01638-5-1411		北海道
利尻島郷土資料館	097-0211	北海道利尻富士町鬼脇鬼脇	01638-3-1620		北海道
リバーサイドミュージアム　フィッシュ・アンド・名駒	048-1307	北海道蘭越町名駒町201－5	0136-56-2888		北海道
リーセント美術館	064-0821	北海道札幌市中央区北一条西28－2－5	011-613-7444		北海道
留寿都村公民館郷土資料室	048-1731	北海道留寿都村留寿都206－1	0136-46-3321		北海道
留辺蕊町立山の郷土館	091-0000	北海道留辺蘂町温根湯	0157-45-2223		北海道
留辺蘂町開拓資料館	091-0163	北海道留辺蘂町滝湯127	0157-42-2723		北海道
留萌市海のふるさと館	077-0048	北海道留萌市大町2	0164-43-6677		北海道
北海道新冠町　レ・コード館	059-2402	北海道新冠町中央町1-4	01464-5-7833	http://www.niikappu.jp/record/	北海道
礼文町郷土資料館	097-1200	北海道礼文町香深トンナイ	01638-6-2119	http://academic1.plala.or.jp/reikyoi/	北海道
和田屯田兵村被服庫	087-0033	北海道根室市西和田568－2	01532-3-6111		北海道
稚内市北方記念館	097-0000	北海道稚内市ヤムワッカナイ稚内公園内	0162-24-4019		北海道
稚内市青少年科学館	097-0026	北海道稚内市ノシャップ2-2-16	0162-22-5100	http://www.city.wakkanai.hokkaido.jp/kagakukan/	北海道
稚内市立ノシャップ寒流水族館	097-0026	北海道稚内市ノシャップ2-2-17	0162-23-6278	http://www.city.wakkanai.hokkaido.jp/sisetu/suizokukan/	北海道
和寒町郷土資料館	098-0133	北海道和寒町北町61	016532-2477		北海道
サッポロスターライトドーム	006-0022	北海道札幌市手稲区手稲本町2条4丁目1	011-691-2325	http://www.ssdome.co.jp/	北海道
十和田市馬事公苑（称徳館）	034-0106	青森県十和田市大字深持字梅山1-1	0176-26-2100	http://komakkoland.jp/	青森県
青森県立図書館・近代文学館	030-0184	青森県青森市荒川藤戸119－7	017-739-4211	http://www.plib.pref.aomori.lg.jp/top/museum/index.html	青森県
青森県防災教育センター	038-0042	青森県青森市新城天田内183－3	017-788-4221		青森県
青森県立十二湖ビジターセンター	038-2206	青森県深浦町松神山国有林	01737-7-2138		青森県
青森県営浅虫水族館	039-3501	青森県青森市浅虫馬場山1-25	017-752-3377	http://www.asamushi-aqua.com/	青森県
青森県観光物産館  アスパム	030-0803	青森県青森市安方1-1-40	017-735-5311	http://www.aspm.or.jp	青森県
青森県スポーツ資料館	038-0021	青森県青森市安田近野155-2県総合運動公園	017-766-2141		青森県
青森県立三沢航空科学館	033-0022	青森県三沢市三沢北山158	0176-50-7777	http://www.kokukagaku.jp/	青森県
青森県立郷土館	030-0802	青森県青森市本町2-8-14	017-777-1585	http://www.pref.aomori.lg.jp/bunka/culture/kyodokan.html	青森県
青森県立美術館	038-0021	青森県青森市安田近野185	017-783-3000	http://www.aomori-museum.jp	青森県
青森市森林博物館	038-0012	青森県青森市柳川2-4-37	017-766-7800	http://www.aomori-shi.shinrinhakubutsukan.jp/	青森県
青森市中世の館	038-1311	青森県青森市浪岡岡田43	0172-62-6339		青森県
青森市八甲田山雪中行軍遭難資料館	030-0943	青森県青森市幸畑阿部野163-4	017-738-6931	http://www.moyahills.jp/hakkoda/index.html	青森県
秋田雨雀記念館	036-0306	青森県黒石市中町5（津軽こみせ2F）	0172-59-2080		青森県
芦野児童動物園	037-0202	青森県五所川原市金木町芦野234	0173-53-2936		青森県
鯵ケ沢町郷土文化保存伝習館　光信公の館	038-2725	青森県鯵ケ沢町種里町	01737-9-2535		青森県
板柳町立郷土資料館	038-3672	青森県板柳町灰沼岩井70	0172-72-0330		青森県
田舎館村歴史民俗資料館	038-1113	青森県田舎館村田舎館中辻2－3	0172-58-4663		青森県
田舎館村埋蔵文化財センター・田舎館村博物館	038-1111	青森県南津軽郡田舎館村高樋大曲63	0172-43-8555	http://www.vill.inakadate.aomori.jp./maizou/	青森県
円覚寺宝物殿	038-2324	青森県深浦町深浦浜町	01737-4-2029		青森県
大湊地方総監部北洋館	035-0093	青森県むつ市大湊町2－50	01752-4-1111		青森県
大山将棋資料館	039-2225	青森県百石町上明堂94－1	0178-52-2268		青森県
大山ふるさと資料館	030-1307	青森県外ヶ浜町蟹田大平沢辺34-3	0174-22-2577		青森県
小川原湖民俗博物館	033-0044	青森県三沢市三沢駅南	0176-51-1111		青森県
金木小学校郷土美術館	037-0202	青森県五所川原市金木町芦野84-54	0173-52-2042		青森県
金吹沢園民芸館「雅楽多庵」	031-0833	青森県八戸市大久保大山7金吹沢ラジウム鉱泉内	0178-33-3261		青森県
櫛引八幡宮宝物庫	039-1105	青森県八戸市八幡八幡丁3	0178-27-3053		青森県
五所川原市金木歴史民俗資料館	037-0202	青森県五所川原市金木町芦野234-1	0173-53-2294		青森県
五所川原市太宰治記念館 「斜陽館」	037-0202	青森県五所川原市金木町朝日山412-1	0173-53-2020		青森県
五所川原市歴史民俗資料館	037-0035	青森県五所川原市湊千鳥102-1	0173-35-9555		青森県
佐井村海峡ミュウジアム	039-4711	青森県佐井村佐井112	0175-38-4513		青森県
三内丸山遺跡　展示室	038-0031	青森県青森市三内丸山293	017-781-6078	http://sannaimaruyama.pref.aomori.jp/	青森県
三戸町立歴史民俗資料館	039-0112	青森県三戸町城山公園	0179-22-2739		青森県
財団法人　青函トンネル記念館	030-1700	青森県外ヶ浜町三厩龍浜99	0174-38-2301	http://seikan-tunnel-museum.com/	青森県
市浦歴史民俗資料館	037-0403	青森県五所川原市十三土佐	0173-62-2775		青森県
私設　櫻庭利弘美術館	037-0202	青森県五所川原市金木町芦野234-41	0173-52-5066		青森県
七戸中央公民館　資料展示室	039-2701	青森県七戸町天間舘森ノ上	0176-68-2920		青森県
七戸町立鷹山宇一記念美術館	039-2501	青森県七戸町字荒熊内67-94	0176-62-5858		青森県
下北文化会館  科学展示ホール・プラネタリウム	035-0072	青森県むつ市金谷1－10－1	0175-22-8411		青森県
小説「津軽」の像記念館	037-0511	青森県中泊町小泊砂山1080-1	0173-64-3588		青森県
食の文化資料館「包」	039-1103	青森県八戸市長苗代二分谷地1-35八戸総合卸センター南-4	0178-29-0815		青森県
世界でいちばん小さいリンゴの博物館	036-8035	青森県弘前市百石町6－1和菓子店笹の舎内	0172-35-0353	http://www.rag-s.com	青森県
星と森のロマントピア・そうま　森林科学館	036-1500	青森県弘前市水木在家桜井113-2	0172-84-2288		青森県
高照神社宝物殿	036-1343	青森県弘前市百沢神馬野87	0172-83-2465		青森県
立佞武多の館 　　	037-0063	青森県五所川原市大町21－1	0173-38-3232	http://www.tachineputa.jp/	青森県
田子町ガーリックセンター	039-0201	青森県田子町大字田子字田子11	0179-32-3165		青森県
田中屋工房　「津軽塗資料館」	036-8201	青森県弘前市一番町角	0172-33-6666	http://www.tugarunuri.jp/	青森県
津軽伝承工芸館	036-0412	青森県黒石市袋富山65－1	0172-59-5300		青森県
津軽こけし館	036-0412	青森県黒石市袋富山72-1	0172-54-8181		青森県
つがる市木造農業者トレーニングセンター縄文館	038-3283	青森県つがる市木造館岡屏風山195	0173-45-3450		青森県
つがる市繩文住居展示資料館　カルコ	038-3138	青森県つがる市木造若緑59-1	0173-42-6490		青森県
津軽三味線会館	037-0202	青森県五所川原市金木町朝日山189-3	0173-54-1616		青森県
津軽藩ねぷた村	036-8332	青森県弘前市亀甲町61	0172-39-1511	http://www.neputamura.com	青森県
鶴の里ふるさと館	038-3542	青森県鶴田町廻堰大沢81	0173-22-5701		青森県
東北大学理学部附属　八甲田山植物実験所	038-0000	青森県青森市酸ヶ湯	017-738-0621		青森県
東北町歴史民俗資料館	039-2401	青森県東北町上野上野191-30	0176-56-5598		青森県
常盤ふるさと資料館あすか	038-1200	青森県藤崎町水木村元15-1	0172-65-4567		青森県
斗南藩記念観光村　三沢市先人記念館	033-0164	青森県三沢市谷地頭4－298－652	0176-59-3009	http://senjin.misawasi.com/	青森県
十和田科学博物館	018-5501	青森県十和田市奥瀬十和田16十和田湖グランドホテル内	0176-75-2121		青森県
十和田市郷土館	034-0083	青森県十和田市西三番町3-21	0176-25-6515	http://www.city.towada.lg.jp/kankou/spot/kyoudokan/top.htm	青森県
十和田市現代美術館	034-0082	青森県十和田市西二番町10-9	0176-20-1127	http://www.city.towada.lg.jp/artstowada/	青森県
十和田市十和田湖民俗資料館	034-0301	青森県十和田市奥瀬栃久保80	0176-74-2547	http://www.city.towada.lg.jp/kankou/spot/minzokusiryoukan/top.htm	青森県
十和田市立新渡戸記念館	034-0031	青森県十和田市東3-24-1	0176-23-4430	http://www.towada.or.jp/nitobe/	青森県
十和田ビジターセンター	018-5501	青森県十和田市奥瀬十和田16	0176-75-2728		青森県
東通原子力発電所ＰＲ施設（トントゥビレッジ）	039-4223	青森県東通村小田野沢見知川山1－809	0175-48-2777		青森県
中泊町博物館	037-0305	青森県中泊町中里紅葉坂210	0173-69-1111	http://www2.town.nakadomari.aomori.jp/hakubutsukan/	青森県
鳴海要記念陶房館　    　　　　	036-1313	青森県弘前市賀田大浦1-2	0172-82-2902	http://www.hi-it.jp/~touboukan/	青森県
鹿鳴庵	030-0132	青森県青森市横内八重菊61	017-738-6381		青森県
野辺地町立歴史民俗資料館	039-3131	青森県野辺地町1月3日	0175-64-9494		青森県
八戸火力発電所ＰＲ館	039-1161	青森県八戸市河原木宇衛河原1－1	0178-43-4331		青森県
八戸公園 植物園	031-0012	青森県八戸市十日市天摩33-2	0178-96-2932		青森県
八戸市水産科学館	031-0841	青森県八戸市鮫町下松苗場14－33	0178-33-7800		青森県
八戸市史跡根城の広場	039-1166	青森県八戸市根城根城	0178-41-1726		青森県
八戸市視聴覚センター・児童科学館	031-0001	青森県八戸市類家4-3-1	0178-45-8131	http://www.kagakukan-8.com/	青森県
八戸市縄文学習館	031-0023	青森県八戸市是川中居3-1	0178-96-1484		青森県
八戸市南郷歴史民俗資料館・民具展示館	031-0202	青森県八戸市南郷区島守小山田8	0178-83-2443		青森県
八戸市博物館	039-1166	青森県八戸市根城東構35－1	0178-44-8111	http://www.hachinohe.ed.jp/haku/	青森県
八戸市美術館	031-0031	青森県八戸市番町10-4	0178-45-8338	http://www.hachinohe.ed.jp/artmuseum/	青森県
羽仁もと子記念館・八戸友の家	039-1167	青森県八戸市沢里古宮35－3	0178-24-2232		青森県
東八甲田家族旅行村	039-2500	青森県七戸町左国地内142-1	0176-62-5671		青森県
平賀町郷土資料館	036-0102	青森県平川市光城2-30-1平賀町文化センター内	0172-44-1221		青森県
平舘村立中央公民館	030-1411	青森県外ヶ浜町平舘根岸湯ノ沢163-3	0174-25-2229		青森県
平内町歴史民俗資料館	039-3321	青森県平内町小湊小湊80	0177-55-2111		青森県
弘前市立観光館	036-8588	青森県弘前市下白銀町2－1	0172-37-5501		青森県
弘前市立郷土文学館	036-8356	青森県弘前市下白銀町2-1	0172-37-5505		青森県
弘前市立博物館	036-8356	青森県弘前市下白銀町1-6	0172-35-0700	http://www.hi-it.net/~hakubutsu/	青森県
弘前城天守　（弘前城史料館）	036-8356	青森県弘前市下白銀町1弘前公園内	0172-33-8739	http://www.net.pref.aomori.jp/hiroryokuchi/	青森県
弘前文化センター	036-8356	青森県弘前市下白銀町19－4	0172-33-6561		青森県
深浦町歴史民俗資料館	038-2324	青森県深浦町深浦苗代沢80－1	01737-4-3882		青森県
藤田記念考古館	036-8207	青森県弘前市上白銀町8－1	0172-37-5525		青森県
法光寺宝物館	039-0506	青森県南部町法光寺法光寺20	01787-6-2506		青森県
三沢市寺山修司記念館	033-0022	青森県三沢市三沢淋代平116-2955	0176-59-3434	http://www.terayamaworld.com/	青森県
三沢市歴史民俗資料館	033-0022	青森県三沢市三沢淋代平116-2955	0176-59-3670		青森県
みちのく北方漁船博物館	038-0002	青森県青森市沖館2-2-1	017-761-2311	http://www.mtwbm.com/	青森県
湊ふるさと館	031-0822	青森県八戸市白銀町右新井田道13－2八戸市立湊中学校内	0178-33-0621		青森県
むつ小川原石油備蓄（株）展示室	039-3212	青森県六ヶ所村尾駮二又525－2	0175-72-3111		青森県
むつ科学技術館	035-0022	青森県むつ市関根北関根693	0175-25-2091	http://www.jmsfmml.or.jp/msm.htm	青森県
むつ市大畑公民館・笹沢魯羊資料室	039-4400	青森県むつ市大畑町中島108-5	0175-34-2321		青森県
むつ市文化財収蔵庫	035-0094	青森県むつ市桜木町5－64	0175-29-3669		青森県
棟方志功記念館	030-0813	青森県青森市松原2-1-2	017-777-4567	http://munakatashiko-museum.jp/	青森県
森田村歴史民俗資料館	038-2816	青森県つがる市森田町森田月見野340-2	0173-26-2201		青森県
横浜町郷土館「潮騒荘」	039-4156	青森県横浜町雲雀平 はまなす公園内	01757-8-3286		青森県
陸上自衛隊八戸駐屯地　防衛館	039-2241	青森県八戸市市川町桔梗野官地	0178-28-3111		青森県
六戸町郷土資料館	039-2371	青森県六戸町犬落瀬柴山3－9	0176-55-5511		青森県
六ケ所村立郷土館	039-3212	青森県六ケ所村尾駮野附535	0175-72-2306		青森県
六ケ所原燃ＰＲセンター	039-3212	青森県六ヶ所村尾駮上尾駮2-42	0175-72-3101	http://www.6prc.co.jp/	青森県
八戸市児童科学館	031-0001	青森県八戸市類家4丁目3-1	0178-45-8131	http://www.kagakukan-8.com/	青森県
奥州市埋蔵文化財調査センター	023-0003	岩手県奥州市水沢区佐倉河字九蔵田96-1	0197-22-4400	http://www.oshu-bunka.or.jp/maibun/index.htm	岩手県
歴史ふれあい館	029-4302	岩手県奥州市衣川区日向60-18	0197-52-3750		岩手県
芦東山先生記念館	029-0521	岩手県一関市大東町渋民伊勢堂71	0191-75-4303		岩手県
アジア文化資料館	029-4102	岩手県平泉町平泉泉屋40－2	0191-46-3052		岩手県
アジア民族造形館	028-8201	岩手県野田村野田6-75	0194-78-3252	http://www.vill.noda.iwate.jp/asia/index.html	岩手県
石川啄木記念館	028-4132	岩手県盛岡市玉山区渋民字渋民9	019-683-2315	http://www.takuboku.com/	岩手県
石神の丘美術館	028-4307	岩手県岩手町五日市10－84－1	0195-62-1453		岩手県
石鳥谷町立歴史民俗資料館	028-3171	岩手県花巻市石鳥谷町中寺林7-7-1	0198-45-4513		岩手県
一関小学校　学校博物館	021-0836	岩手県一関市鳴神33一関小学校内	0191-23-5016		岩手県
一関市博物館	021-0101	岩手県一関市厳美町沖野々215	0191-29-3180	http://www.museum.city.ichinoseki.iwate.jp	岩手県
一戸観光天文台	028-5302	岩手県一戸町女鹿新田42－21	0195-33-1211		岩手県
岩手県立農業ふれあい公園　農業科学博物館	024-0001	岩手県北上市飯豊3－110	0197-68-3975		岩手県
岩手県森林学習展示館	028-7302	岩手県八幡平市寄木1岩手県県民の森内	0195-78-2092		岩手県
岩手県立水産科学館	027-0001	岩手県宮古市日立浜町32-38	0193-63-5353	http://uolog.npo-iwate.jp/uoriyas/	岩手県
岩手県立総合防災センター	028-3602	岩手県矢巾町藤沢3-117-1	019-697-7741	http://www.pref.iwate.jp	岩手県
岩手県立博物館	020-0102	岩手県盛岡市上田松屋敷34	019-661-2831	http://www.pref.iwate.jp/~hp0910/	岩手県
岩手県立美術館	020-0866	岩手県盛岡市本宮字松幅12-3	019-658-1711	http://www.ima.or.jp/	岩手県
岩手大学ミュージアム	020-8550	岩手県盛岡市上田3-18-8	019-621-6082	http://www.museum.iwate-u.ac.jp/	岩手県
牛の博物館	029-4205	岩手県奥州市前沢区字南陣場103-1	0197-56-7666	http://www.isop.ne.jp/atrui/mhaku.html	岩手県
江釣子村史跡センター・展示室	024-0071	岩手県北上市上江釣子20地割146	0197-77-2136		岩手県
大籠キリシタン殉教公園資料館・クルス館	029-3522	岩手県藤沢町大籠右名沢28－7	0191-62-2255		岩手県
大迫町郷土文化保存伝習館	028-3201	岩手県花巻市大迫町内川目1-2	0198-48-5864		岩手県
大迫町立山岳博物館付属　縄文館	028-3203	岩手県花巻市大迫町大迫3-39	0198-48-2222		岩手県
大迫町立山岳博物館	028-3203	岩手県花巻市大迫町大迫3-39	0198-48-3020		岩手県
大船渡市立博物館	022-0001	岩手県大船渡市末崎町大浜221-86	0192-29-2161	http://www.city.ofunato.iwate.jp/cgi-bin/odb-get.exe?WIT_oid=icityv2::Contents::1104&WIT_template=AC020000	岩手県
懐徳館	029-4302	岩手県奥州市衣川区日向60-2	0197-52-3311		岩手県
金ヶ崎町立千田正記念館	029-4502	岩手県金ヶ崎町三ヶ尻谷地中98	0197-42-2495		岩手県
釜石市郷土資料館	026-0031	岩手県釜石市鈴子町15-2釜石市教育センター北側	0193-22-2046	http://www.city.kamaishi.iwate.jp/kyoudo/index.html	岩手県
釜石市立　鉄の歴史館	026-0002	岩手県釜石市大平町3-12-1	0193-24-2211	http://www.city.kamaishi.iwate.jp/rekishikan/	岩手県
軽米町生活文化博物館	028-6302	岩手県軽米町軽米8－54	0195-46-4152		岩手県
軽米町歴史民俗資料館	028-6302	岩手県軽米町軽米9-53-1	0195-46-4232		岩手県
川井村北上山地民俗資料館	028-2302	岩手県川井村川井2-187-1	0193-76-2167	http://museum.vill.kawai.iwate.jp/	岩手県
北上川学習交流館「あいぽーと」	029-0131	岩手県一関市狐禅寺石ノ瀬155-81	0191-26-0077	http://www.thr.mlit.go.jp/iwate/iport/	岩手県
北上市立鬼の館	024-0321	岩手県北上市和賀町岩崎16-131	0197-73-8488	http://www.city.kitakami.iwate.jp/	岩手県
北上市立博物館　みちのく民俗村	024-0334	岩手県北上市立花14地割59	0197-64-1756	http://www.city.kitakami.iwate.jp/sub03/shisetsu/shisetsu02/page_1285.html	岩手県
北上平和記念展示館　　	024-0334	岩手県北上市和賀町藤根14-147-3	0197-73-5876		岩手県
旧後藤家住宅	023-1101	岩手県奥州市江刺区岩谷堂向山1	0197-35-2111		岩手県
吉里吉里考古園	028-1101	岩手県大槌町吉里吉里第32地割崎山18－30	0193-44-2510		岩手県
久慈琥珀博物館	028-0071	岩手県久慈市小久慈町19-156-133	0194-59-3821	http://www.kuji.co.jp/	岩手県
くらしの館	023-0402	岩手県胆沢町小山中油地173			岩手県
気仙大工左官伝承館	029-2207	岩手県陸前高田市小友町茗荷1－237	0192-56-2911		岩手県
けんじワールド　アルビレオ観測所（プラネタリウム）	020-0574	岩手県雫石町鴬宿10－64－1	019-695-3111		岩手県
小岩井農場展示資料館	020-0507	岩手県雫石町丸谷地36-1小岩井農場まきば園内	019-692-4321	http://www.koiwai.co.jp/makiba/	岩手県
小岩井農場まきば園　羊館	020-0507	岩手県雫石町丸谷地36-1	019-692-4321	http://www.koiwai.co.jp/	岩手県
小岩井農場まきば園　まきばの天文館	020-0507	岩手県雫石町丸谷地36-1	019-692-4321	http://www.koiwai.co.jp/	岩手県
御所湖川村美術館	020-0572	岩手県雫石町西安庭11-55-6	019-692-5931	http://www13.ocn.ne.jp/~k-museum/	岩手県
後藤新平記念館	023-0053	岩手県奥州市水沢区大手町4-1	0197-25-7870	http://www.city.oshu.iwate.jp/shinpei/	岩手県
斎藤實記念館	023-0054	岩手県奥州市水沢区吉小路24	0197-23-2768		岩手県
桜地人館	025-0084	岩手県花巻市桜町4－14	0198-23-6591		岩手県
サトウハチロー記念館（叱られ坊主）	024-0043	岩手県北上市立花13－67－3展勝地公園内	0197-65-5401		岩手県
サハラガラスパーク	021-0101	岩手県一関市厳美町滝の上263－1	0191-29-2288	http://www.sahara-g.co.jp/	岩手県
中尊寺讃衡蔵	029-4102	岩手県平泉町平泉衣関202中尊寺内	0191-46-2211		岩手県
雫石町歴史民俗資料館	020-0572	岩手県雫石町西安庭第15地割39－7	019-692-3942		岩手県
シベリア抑留史料保存館	020-0803	岩手県盛岡市新庄岩山植物園「四季園」	019-622-6927		岩手県
浄法寺町歴史民俗資料館	028-6802	岩手県二戸市浄法寺町御山御山久保35	0195-38-3464		岩手県
住田町民俗資料館	029-2501	岩手県住田町上有住山脈地15－1	0192-48-2013		岩手県
聖愛園おもちゃ美術館	023-1131	岩手県奥州市江刺区愛宕八日市51-3特別養護老人ホーム聖愛園内	0197-35-2824		岩手県
世界の椿館・碁石	022-0001	岩手県大船渡市末崎町大浜280-1	0192-29-4187	http://www13.ocn.ne.jp/~goishi/	岩手県
世嬉の一酒の民俗文化博物館	021-0885	岩手県一関市田村町5－42	0191-21-1144		岩手県
太陽と風の家	029-0303	岩手県一関市東山町松川滝の沢149-1	0191-47-3655		岩手県
高野長英記念館	023-0857	岩手県奥州市水沢区中上野町1-9	0197-23-6034	http://www.city.oshu.iwate.jp/syuzou01/	岩手県
高村記念館	025-0037	岩手県花巻市太田3－91	0198-28-3012		岩手県
滝沢村埋蔵文化財センター	020-0173	岩手県滝沢村滝沢湯舟沢327－13	019-694-9001		岩手県
田中舘愛橘記念科学館	028-6103	岩手県二戸市石切所荷渡55	0195-25-5411	http://www.civic.ninohe.iwate.jp/index.html	岩手県
種市町立歴史民俗資料館	028-7914	岩手県洋野町種市第23地割27-1	0194-65-3943		岩手県
田野畑村民俗資料館	028-8407	岩手県田野畑村田野畑128－9	0194-33-2210		岩手県
玉里民俗資料館	023-1134	岩手県奥州市江刺区玉里青條12	0197-36-2131		岩手県
玉山歴史民俗資料館	028-4123	岩手県盛岡市玉山区巻堀33-2	019-683-2111		岩手県
淡水魚具森の資料館	028-7111	岩手県八幡平市大更19-73-2	0195-76-2091		岩手県
奥州市伝統産業会館　（キューポラの館）	023-0104	岩手県奥州市水沢区羽田町駅前1-109	0197-23-3333		岩手県
東和町ふるさと歴史資料館	028-0114	岩手県花巻市東和町土沢9区198	0198-42-3056	http://www.city.hanamaki.iwate.jp/sightseeing/history/index.html	岩手県
遠野郷土人形民芸村	028-0501	岩手県遠野市青笹町糠前42－8－6	0198-62-1335		岩手県
遠野市伝承園	028-0555	岩手県遠野市土淵町土淵6地割5－1	0198-62-8655		岩手県
遠野市立博物館	028-0515	岩手県遠野市東館町3-9	0198-62-2340	"http://www.city.tono.iwate.jp/index.cfm/19,2222,75,html"	岩手県
遠野ふるさと村	028-0661	岩手県遠野市附馬牛町上附馬牛5-89-1	0198-64-2300	http://www.tonotv.com/members/furusatomura/	岩手県
とおの昔話村	028-0523	岩手県遠野市中央通り2－11	01986-2-7887		岩手県
利根山光人記念館	024-0043	岩手県北上市立花15－153－2	0197-65-1808		岩手県
南部杜氏伝承館	028-3171	岩手県花巻市石鳥谷町中寺林7-17-2	0198-45-6880		岩手県
二戸市歴史民俗資料館	028-6101	岩手県二戸市福岡長嶺80-1	0195-23-2870		岩手県
日本現代詩歌文学館	024-8503	岩手県北上市本石町2-5-60	0197-65-1728	http://www.shiikabun.jp/	岩手県
マリンローズパーク野田玉川	028-8202	岩手県野田村玉川5－104－13	0194-78-2138		岩手県
野村胡堂・あらえびす記念館	028-3315	岩手県紫波町彦部暮坪193-1	019-676-6896	http://www.town.shiwa.iwate.jp/lg/gaiyou/sightseeing/nomu.html	岩手県
八幡平市西根歴史民俗資料館	028-7401	岩手県八幡平市寺田15-127	0195-77-2787		岩手県
八幡平市松尾ふれあい文化伝承館	028-7301	岩手県八幡平市野駄7-84-1	0195-76-3235		岩手県
八幡平市松尾歴史民俗資料館	028-7303	岩手県八幡平市柏台2-5-6	0195-78-2598		岩手県
花巻広域陸中海岸観光物産館  （ステップ　イン　はなまき）	025-0011	岩手県花巻市矢沢10－87－7	0198-31-2244		岩手県
花巻市歴史民俗資料館	025-0037	岩手県花巻市太田第3地割85－1	0198-28-4190		岩手県
花巻新渡戸記念館	025-0014	岩手県花巻市高松9-21	0198-31-2120		岩手県
花巻市博物館	025-0014	岩手県花巻市高松第26地割8-1	0198-32-1030	http://museum.city.hanamaki.iwate.jp/	岩手県
平泉文化史館	029-4100	岩手県平泉町坂下10－7	0191-46-2011		岩手県
平泉郷土館	029-4102	岩手県平泉町平泉字花立44	0191-46-4012		岩手県
深沢紅子野の花美術館　盛岡	020-0885	岩手県盛岡市紺屋町4-8	019-625-6541	http://www.nonohana.hs.plala.or.jp/ 	岩手県
福田繁雄デザイン館	028-6103	岩手県二戸市石切所荷渡55	0195-25-5411		岩手県
ふるさと資料館	028-7533	岩手県八幡平市叺田230	0195-63-1122		岩手県
ふるさと吉浜郷土資料室	022-0102	岩手県大船渡市三陸町吉浜扇洞127－2吉浜中学校内	0192-45-2153		岩手県
武家住宅資料館	023-0054	岩手県奥州市水沢区吉小路43	0197-22-5642		岩手県
碧祥寺博物館	029-5614	岩手県沢内村太田3－32	0197-85-3330		岩手県
水沢消防記念館	023-0053	岩手県奥州市水沢区日高小路13	0197-24-2111		岩手県
陸奥資料館	028-3622	岩手県矢巾町上矢次4－5－1	019-697-2227		岩手県
三船十段記念館	028-0082	岩手県久慈市川貫 5-20-230	0194-53-2210	http://kujicity.cool.ne.jp/	岩手県
宮古市新里生涯学習センター（玄翁館）	028-2101	岩手県新里村茂市3-159-1	0193-72-2231		岩手県
宮古ビジターセンター	027-0001	岩手県宮古市日立浜町11-30	0193-62-9911		岩手県
宮沢賢治記念館	025-0011	岩手県花巻市矢沢第1地割1-36	0198-31-2319		岩手県
